,beijing,chicago,dubai,las vegas,london,montreal,new delhi,new york city,san francisco,shanghai
bond,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
deville,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
levant,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tring,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hotel).in,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the west-end,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
sanderson,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
lennox,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
breeze!i,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
matter!front,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
l.d.,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
jacobs,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
albert,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fora,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
sherrill,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bailey;s,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
travelzoo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0
table)and,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
btonline,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
credenza,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0
balieys,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
koodoos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
south kensington's,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nice!having,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
london bridge,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jenya,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
riz?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pour,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0
sweat!requested,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mayfaire,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
you:-,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
richoux,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
oxford st.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
arts,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
turners,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
europe!and,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mayfair,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
harrods 2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
st. few,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
crisps,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dorset,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0
tripadviser,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
victoris,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
staunton,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
goodge,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
coventgarden,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kingsway,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
noise!dont,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
abokado,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hoborn,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
dec.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
weatherspoon,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
holborn underground,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
malton,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
new oxford st.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
covent gardens,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
the united kindom,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
soccer,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
st. martin-in-the fields,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stay!congratulations,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the states,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
accents!yes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
essex,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
st martin's,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0
smartest,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hotel kensington,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sofra,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
st. christoper's,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kids!hotel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bond st,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
marylebone lane,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cliffton,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
marlyebone high st,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rocket,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
barkleys atm,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
topkapi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
plumbing,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
bottswana,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
helped!breakfast,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
london!)the,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
england).another,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
masala,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
benito,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
nh,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0
"houston, usa",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kinghtsbridge,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ausgust,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
londonpass,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ta-krai,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
west bromton,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"cappuccino, espresso",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
south-kensington,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jolly old london,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
harrod's,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
west brom,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
were!staff,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tcp/,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
euston stations,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
there!while,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the city and canary wharf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"the city, thames embankment",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the inn bar,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fifteen,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
belfast telegraph,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jurys inn,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
westfield park,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
westfield mall,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0
westfield shopping centre,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
westfield shopping,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
sir!&quot,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
georgina,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hilton kensington,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
knottinghill,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pounds.-dont,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
scottland,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
read,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lidgate,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
long distance,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kensinton,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dish).to,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the travel inn,0.0,0.0,0.0,0.0,6.0,0.0,0.0,58.0,0.0,0.0
the city and,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
castelton,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
edwin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
¿desayuno,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kilburn park,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
zone25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
osteria del ponte,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
offerta,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
marsala zone,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hilton hhonours,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the coffee republic,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
waiting,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
fraser,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
togreen park,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
brownie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
new york grill,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
joyghurt,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
district lines.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
method!the,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kenisngton,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
melanie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
parvo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
central london.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
vold,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nickelodeon,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jamestown,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
central and city of london,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
wetherspoon,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
boingo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kentish,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tasty!extras,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
london!!!all,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
home!however,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
wagamamas,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
north america).there,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
st. mark's place,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
the city and west end,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
visitas el camden,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
blackfriers,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
st. paul's cathedral,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
liverpoolstreet,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
abrupt,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
city of london,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
gb£50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
south bank centre,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
southwark - jubilee line)it's,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chilli,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
inn county,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
southwark underground,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
later!i,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sleep!would,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
restaurants).in,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
syed,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
st. pancras station,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stay!!wouldn't,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kumquat,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fulham broadway,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
battersea park,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fullham,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lunch,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
chelsea village,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
harry ramsdens,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
full.)when,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hiltons.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aviemore,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
lutton,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
crawford place,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lobby!wont,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
&quot;please,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
metropole,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
tel aviv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
value3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fatoush,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
brighton beach,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
london(hard,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
spencer,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rumbabas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the'afternoon,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
food city,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
flammia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kitchin,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
don'twant,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
spencer).the,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the waterside inn,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
galway,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
visitlondon.com,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
sheraton park,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the girkin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the georges v,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
noura,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
the lowndes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kensington gardensm,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the city inn london,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the anchor inn,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
theatre).a,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
carlisle,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
toms kitchen,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
channel,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
micro oven,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
new bond streets,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
zone3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
st george's hospital,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
blandford,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
st james',0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
taxi,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
engand,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"nandos, zizzi",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
piccadilly circus,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
princess diana park,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mandaville,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
working!-management,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
zanders,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
wow.so,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
underground on piccadilly,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nitin,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
anyway).we,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
south kensighton,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
me.)the,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bellboy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
liaison,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
kylie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
raileurope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
room 314,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
noting hill,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
salvador,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
westminster abbey,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
breacfast,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
calfornia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
deluxe city,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0
std city,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
king city,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
martini).without,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
london).there,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
tenafly,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
posh kensington,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stanhope arms,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
there.-bethesda,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kensingtion,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the holiday inn kensington forum,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hearthrow,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
usualy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
lodon,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
trip advisor,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0
"district, piccadilly",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
amaretto,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
radisoon,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ranjin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hoever,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-the area,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
practical,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
localy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aston martin,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
ni,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
welcomes!i,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
amethyst,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
brut,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
al-fresco,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hilton pier,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
timo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the canary warf,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
country,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
the sw of england,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
reception!difficult,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hotelsas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
app,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
apartmentdon't,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
londond,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
pheonix,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
tavistock,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rca,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
london!a,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
cowes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
greater portland,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
closet(room)and,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
b&amp;btony,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the fitzrovia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
grange holborn,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
daystaff,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
thirsty,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
katarina,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
st. paul,0.0,0.0,0.0,0.0,10.0,24.0,0.0,0.0,2.0,0.0
homage,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
london?!the,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
queen,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0
tower bridge!we,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
